EPCI_Siren,wood_composition,BO_harvest,BI_harvest,BE_harvest
200034882,coniferes,13082.9947583857,1100.21528132677,3949.36282207214
200034957,coniferes,2272.96631240529,1231.91303954791,356.777632052167
200035087,coniferes,208.485606650873,512.985254620471,100.26036564279
200035103,coniferes,381.849938410268,210.364603786404,167.290056706417
200035111,coniferes,7813.58090665877,4304.09117739678,3426.71874508128
200035129,coniferes,7555.46898029022,3180.49240338287,5152.85446790835
200035129,coniferes,7555.46898029022,3180.49240338287,5152.85446790835
200035137,coniferes,862.439979710491,948.429702815041,433.211400089786
200035202,coniferes,15983.4785015502,1363.10142545692,4837.90325412055
200035319,coniferes,958.329748808761,2358.96553552926,460.735456158058
200035327,coniferes,8849.08800470503,4800.51889933926,1390.80062829131
200035442,coniferes,0.765168915132554,0.623981789680819,14.710771371174
200035459,coniferes,1608.21604032266,1177.78792006097,376.169459467458
200035533,coniferes,768.343671097737,563.059211733894,179.863766958051
200035541,coniferes,217347.827912146,159178.557143885,50839.6720412308
200035632,coniferes,684.429078605733,371.014209462878,107.457759787744
200035665,coniferes,4875.62227689691,3867.68113311534,3328.54982365078
200035707,coniferes,6119.98919674147,2870.3532010922,4491.23931736594
200035715,coniferes,8234.33666804109,3859.9893569013,6058.85108544082
200035723,coniferes,1130.95668040472,2290.61098925872,506.610363871624
200035723,coniferes,1130.95668040472,2290.61098925872,506.610363871624
200035731,coniferes,25961.8495577971,2192.8556106757,7830.12500236429
200035756,coniferes,502.124078327653,272.143584437125,78.8162317603997
200035764,coniferes,659.219287996979,726.947297037764,331.867244299849
200035772,coniferes,2168.24298786595,751.890713534159,869.338798127166
200035814,coniferes,6608.08258528824,3640.04549189607,2898.03621854802
200035848,coniferes,884.932060440009,975.849737882476,445.496619468087
200035855,coniferes,9039.34748370492,4241.86063370395,6615.53849639833
200035863,coniferes,7374.63288121016,3456.85916306726,5427.29818845636
200035970,coniferes,62.7553999510644,130.632936249317,281.945212488653
200036069,coniferes,1226.09169417375,675.404633319873,537.602140512426
200036077,coniferes,602.584662295852,1483.2853225744,289.704164565313
200036135,coniferes,597.304406935674,655.098784642596,298.957967438926
200036150,coniferes,3624.84738861824,847.073080016265,1078.9908725923
200036465,coniferes,14449.0475506907,2731.58646877726,7595.61291501861
200036473,coniferes,591.595757514426,498.562553711754,229.004809360423
200036499,coniferes,14.8929657993993,0,168.497104379258
200036523,coniferes,4356.62738881856,3192.63277051765,1019.85536272589
200036549,coniferes,8666.95803990725,2023.18040643815,2572.86381062964
200036572,coniferes,656.660312500685,480.478451637632,153.421740323771
200037059,coniferes,53.7789777614121,13.1612845186637,165.081972087784
200037133,coniferes,38.7084270864765,80.6673210089371,173.559708209021
200038958,coniferes,372.871386096112,0,4218.61902520514
200038990,coniferes,3405.84158240378,996.481474784243,381.936703591655
200039022,coniferes,6469.84856507903,1895.20231157606,726.88563792278
200039055,coniferes,7498.28631740536,3243.86780038696,4050.48776229142
200039063,coniferes,5815.64193388445,2515.93134875594,3141.54267867687
200039204,coniferes,3307.56438962767,2423.85623522102,774.277205569725
200039519,coniferes,1993.37673076831,1080.49381778926,312.937770672697
200039642,coniferes,16571.5951726348,7178.31674894147,8975.22474688763
200039709,coniferes,8548.22475961425,3698.0864526094,4617.65239582304
200039758,coniferes,23501.4020834351,10167.0486102192,12695.186274053
200039808,coniferes,289.563201369984,24.5114090239375,87.5916276579437
