epci_insee_id,aldo_biomass_category,biomass_carbon_content
200023737,conifere,45.1723896319632
200023737,feuillu,72.9972823485255
200023737,mixte,58.8320667736962
200023778,conifere,55.0231169668374
200023778,feuillu,81.4947435992128
200023778,mixte,74.3524320672946
200023794,conifere,45.1723896319632
200023794,feuillu,72.9972823485254
200023794,mixte,58.8320667736962
200023919,conifere,77.3697211285485
200023919,feuillu,94.9460555394728
200023919,mixte,79.1909331035093
200026573,conifere,114.019609009048
200026573,feuillu,92.1362451304069
200026573,mixte,105.498303836674
200027027,conifere,79.4209619188898
200027027,feuillu,82.281353897693
200027027,mixte,83.2695672216788
200027076,conifere,77.3697211285485
200027076,feuillu,94.9460555394728
200027076,mixte,79.1909331035093
200027100,conifere,34.620006810596
200027100,feuillu,37.706382238569
200027100,mixte,35.9778759679632
200027183,conifere,45.4752470331057
200027183,feuillu,41.3754224531015
200027183,mixte,41.9529627743459
200027217,conifere,45.1723896319632
200027217,feuillu,72.9972823485254
200027217,mixte,58.8320667736962
200027308,conifere,86.2327730355441
200027308,feuillu,94.4673300737617
200027308,mixte,94.992996561636
200029734,conifere,45.1723896319632
200029734,feuillu,72.9972823485255
200029734,mixte,58.8320667736962
200029999,conifere,110.391000070326
200029999,feuillu,92.6190844018001
200029999,mixte,105.412133341907
200030195,conifere,65.1720210264044
200030195,feuillu,60.3118220216229
200030195,mixte,61.1773008710445
200030385,conifere,77.3697211285485
200030385,feuillu,94.9460555394728
200030385,mixte,79.1909331035093
200030435,conifere,45.1723896319632
200030435,conifere,45.1723896319632
200030435,feuillu,72.9972823485255
200030435,feuillu,72.9972823485255
200030435,mixte,58.8320667736962
200030435,mixte,58.8320667736962
200030526,conifere,86.2327730355441
200030526,conifere,86.2327730355441
200030526,feuillu,94.4673300737617
200030526,feuillu,94.4673300737617
200030526,mixte,94.992996561636
200030526,mixte,94.992996561636
200030633,conifere,77.3697211285486
200030633,feuillu,94.9460555394728
200030633,mixte,79.1909331035092
200030658,conifere,68.2178583696723
200030658,feuillu,74.7719265928409
200030658,mixte,78.3244488341402
200030674,conifere,45.1723896319632
200030674,feuillu,72.9972823485255
200030674,mixte,58.8320667736962
200032514,conifere,77.3697211285485
200032514,feuillu,94.9460555394728
200032514,mixte,79.1909331035092
200033025,conifere,85.9314958993036
200033025,feuillu,94.5024927890958
200033025,mixte,94.5062112752751
200033090,conifere,77.3697211285485
200033090,feuillu,94.9460555394728
200033090,mixte,79.1909331035093
200033116,conifere,68.4919936829666
200033116,feuillu,77.0596205624466
200033116,mixte,79.2815294164196
200033173,conifere,77.3697211285485
200033173,feuillu,94.9460555394728
200033173,mixte,79.1909331035093
200033181,conifere,77.3697211285485
200033181,feuillu,94.9460555394728
200033181,mixte,79.1909331035093
200033207,conifere,77.3697211285486
200033207,feuillu,94.9460555394728
200033207,mixte,79.1909331035093
200033298,conifere,79.4209619188898
200033298,feuillu,82.281353897693
200033298,mixte,83.2695672216788
200033579,conifere,77.3697211285486
200033579,feuillu,94.9460555394728
200033579,mixte,79.1909331035093
200033827,conifere,127.976507737865
200033827,feuillu,80.2855618972943
200033827,mixte,112.675654866816
200033868,conifere,109.626704754577
200033868,feuillu,108.941230570686
200033868,mixte,113.801008882482
200034023,conifere,45.1723896319632
200034023,conifere,45.1723896319632
200034023,feuillu,72.9972823485255
200034023,feuillu,72.9972823485255
200034023,mixte,58.8320667736962
200034023,mixte,58.8320667736962
200034031,conifere,92.6896629109639
200034031,feuillu,84.7286664278273
200034031,mixte,82.1941207638136
200034049,conifere,82.1016351779534
200034049,feuillu,79.3401053487933
200034049,mixte,75.2795321629716
200034056,conifere,45.1723896319632
200034056,feuillu,72.9972823485255
200034056,mixte,58.8320667736962
200034064,conifere,57.4263570173783
200034064,feuillu,76.6893996919334
200034064,mixte,61.7506609886381
200034098,conifere,68.2178583696724
200034098,feuillu,74.9454369689633
200034098,mixte,78.3244488341402
200034130,conifere,77.3697211285485
200034130,feuillu,94.9460555394728
200034130,mixte,79.1909331035093
200034197,conifere,45.1723896319632
200034197,feuillu,72.9972823485255
200034197,mixte,58.8320667736962
200034205,conifere,127.977434512876
200034205,feuillu,80.2796465860475
200034205,mixte,112.675654866816
200034270,conifere,109.588400834015
200034270,feuillu,104.318649374089
200034270,mixte,113.629094846021
200034379,conifere,34.6246783719403
200034379,feuillu,37.7066856420856
200034379,mixte,35.9823175713765
200034411,conifere,42.1769636691509
200034411,feuillu,49.3384442236892
200034411,mixte,41.434782464285
200034601,conifere,94.0229442679184
200034601,feuillu,86.0739462399316
200034601,mixte,83.2231755699963
200034635,conifere,86.2327730355441
200034635,feuillu,105.448551105171
200034635,mixte,113.801008882482
200034692,conifere,34.6246783719403
200034692,feuillu,37.7066856420856
200034692,mixte,35.9823175713765
200034700,conifere,34.6246783719403
200034700,conifere,34.6246783719403
200034700,feuillu,37.7066856420856
200034700,feuillu,37.7066856420856
200034700,mixte,35.9823175713765
200034700,mixte,35.9823175713765
200034718,conifere,77.3697211285485
200034718,feuillu,94.9460555394728
200034718,mixte,79.1909331035093
200034726,conifere,45.1723896319632
