EPCI_Siren,epci_area_surface,aldo_biomass_category,biomass_carbon_content
200034056,39729.3,feuillu,72.9972823485255
200034056,39729.3,mixte,58.8320667736962
200034064,25855.1,conifere,57.4263570173783
200034064,25855.1,feuillu,76.6893996919334
200034064,25855.1,mixte,61.7506609886381
200034098,35010.6,conifere,68.2178583696724
200034098,35010.6,feuillu,74.9454369689633
200034098,35010.6,mixte,78.3244488341402
200034130,9591,conifere,77.3697211285485
200034130,9591,feuillu,94.9460555394728
200034130,9591,mixte,79.1909331035093
200034197,26520.2,conifere,45.1723896319632
200034197,26520.2,feuillu,72.9972823485255
200034197,26520.2,mixte,58.8320667736962
200034205,18508.2,conifere,127.977434512876
200034205,18508.2,feuillu,80.2796465860475
200034205,18508.2,mixte,112.675654866816
200034270,19087.9,conifere,109.588400834015
200034270,19087.9,feuillu,104.318649374089
200034270,19087.9,mixte,113.629094846021
200034379,44958.8,conifere,34.6246783719403
200034379,44958.8,feuillu,37.7066856420856
200034379,44958.8,mixte,35.9823175713765
200034411,45271.9,conifere,42.1769636691509
200034411,45271.9,feuillu,49.3384442236892
200034411,45271.9,mixte,41.434782464285
200034601,47817.1,conifere,94.0229442679184
200034601,47817.1,feuillu,86.0739462399316
200034601,47817.1,mixte,83.2231755699963
200034635,13601.2,conifere,86.2327730355441
200034635,13601.2,feuillu,105.448551105171
200034635,13601.2,mixte,113.801008882482
200034692,63314.9,conifere,34.6246783719403
200034692,63314.9,feuillu,37.7066856420856
200034692,63314.9,mixte,35.9823175713765
200034700,84344.5,conifere,34.6246783719403
200034700,84344.5,conifere,34.6246783719403
200034700,84344.5,feuillu,37.7066856420856
200034700,84344.5,feuillu,37.7066856420856
200034700,84344.5,mixte,35.9823175713765
200034700,84344.5,mixte,35.9823175713765
200034718,52626.3,conifere,77.3697211285485
200034718,52626.3,feuillu,94.9460555394728
200034718,52626.3,mixte,79.1909331035093
200034726,42843.1,conifere,45.1723896319632
200034726,42843.1,feuillu,72.9972823485255
200034726,42843.1,mixte,58.8320667736962
200034825,48247.1,conifere,94.0229442679184
200034825,48247.1,feuillu,86.0739462399316
200034825,48247.1,mixte,83.2231755699962
200034833,66783.4,conifere,45.1723896319632
200034833,66783.4,feuillu,72.9972823485254
200034833,66783.4,mixte,58.8320667736962
200034874,43062.2,conifere,86.2327730355441
200034874,43062.2,feuillu,94.4673300737617
200034874,43062.2,mixte,94.992996561636
200034882,43516.2,conifere,68.2178583696724
200034882,43516.2,feuillu,74.7719265928409
200034882,43516.2,mixte,78.3244488341402
200034957,16227.2,conifere,45.1723896319632
200034957,16227.2,feuillu,72.9972823485255
200034957,16227.2,mixte,58.8320667736962
200035087,25900.7,conifere,34.6246783719403
200035087,25900.7,feuillu,37.7066856420856
200035087,25900.7,mixte,35.9823175713765
200035103,27907.6,conifere,77.3697211285485
200035103,27907.6,feuillu,94.9460555394728
200035103,27907.6,mixte,79.1909331035093
200035111,36595.5,conifere,79.349902769109
200035111,36595.5,feuillu,85.7871536601234
200035111,36595.5,mixte,83.0028460910422
200035129,32185.2,conifere,89.0781659680398
200035129,32185.2,conifere,89.0781659680398
200035129,32185.2,feuillu,46.5108740717453
200035129,32185.2,feuillu,46.5108740717453
200035129,32185.2,mixte,64.9127654930118
200035129,32185.2,mixte,64.9127654930118
200035137,51432,conifere,78.6651202019398
200035137,51432,feuillu,92.1055128989614
200035137,51432,mixte,79.6001545611755
200035202,28013,conifere,93.2232039290104
200035202,28013,feuillu,93.2524768276116
200035202,28013,mixte,82.1201817884789
200035319,35212.2,conifere,34.6246783719403
200035319,35212.2,feuillu,37.7062319186557
200035319,35212.2,mixte,35.9816734080801
200035327,24985.4,conifere,45.1723896319632
200035327,24985.4,feuillu,72.9972823485255
200035327,24985.4,mixte,58.8320667736962
200035442,42395.5,conifere,77.3697211285485
200035442,42395.5,feuillu,94.9460555394728
200035442,42395.5,mixte,79.1909331035093
200035459,48305.6,conifere,45.1723896319632
200035459,48305.6,feuillu,72.9972823485254
200035459,48305.6,mixte,58.8320667736962
200035533,23791.1,conifere,45.1723896319632
200035533,23791.1,feuillu,72.9972823485255
200035533,23791.1,mixte,58.8320667736962
200035541,106929,conifere,45.1723896319632
200035541,106929,feuillu,72.9972823485254
200035541,106929,mixte,58.8320667736962
200035632,29869,conifere,45.1723896319632
200035632,29869,feuillu,72.9972823485255
200035632,29869,mixte,58.8320667736962
200035665,30437.3,conifere,77.3697211285485
200035665,30437.3,feuillu,94.9460555394728
200035665,30437.3,mixte,79.1909331035093
200035707,48707.2,conifere,44.5226548101833
200035707,48707.2,feuillu,69.0371603970784
200035707,48707.2,mixte,57.6868407295616
200035715,107861.3,conifere,46.1126148321905
200035715,107861.3,feuillu,52.1838111015672
200035715,107861.3,mixte,43.0628722311116
200035723,40432.4,conifere,38.3396434831501
200035723,40432.4,conifere,38.3396434831501
200035723,40432.4,feuillu,40.4065394707079
200035723,40432.4,feuillu,40.4065394707079
200035723,40432.4,mixte,36.6563118222719
200035723,40432.4,mixte,36.6563118222719
200035731,69476.9,conifere,93.6595458275323
200035731,69476.9,feuillu,90.0159636171971
200035731,69476.9,mixte,82.8789708398281
200035756,38405.9,conifere,45.1723896319632
200035756,38405.9,feuillu,72.9972823485254
200035756,38405.9,mixte,58.8320667736962
200035764,40091.8,conifere,77.3697211285485
200035764,40091.8,feuillu,94.9460555394728
200035764,40091.8,mixte,79.1909331035093
200035772,35052.4,conifere,86.2327730355441
200035772,35052.4,feuillu,94.4673300737617
200035772,35052.4,mixte,94.992996561636
200035814,57258.4,conifere,79.4209619188898
200035814,57258.4,feuillu,82.281353897693
200035814,57258.4,mixte,83.2695672216788
200035848,27608.4,conifere,77.3697211285485
200035848,27608.4,feuillu,94.9460555394728
200035848,27608.4,mixte,79.1909331035093
200035855,49684.3,conifere,57.8613477951731
200035855,49684.3,feuillu,75.1214611548473
200035855,49684.3,mixte,60.4234358873816
200035863,82345.2000000002,conifere,38.7646497742265
200035863,82345.2000000002,feuillu,63.1079658220659
200035863,82345.2000000002,mixte,46.4601052640428
200035970,24283.2,conifere,77.3697211285485
200035970,24283.2,feuillu,94.9460555394728
200035970,24283.2,mixte,79.1909331035093
200036069,40567.2,conifere,77.3697211285485
200036069,40567.2,feuillu,94.9460555394728
