CODGEO,LIBGEO,EPCI,LIBEPCI,NATURE_EPCI
80108,Boisbergues,248000689,CC du Bernavillois,CC
80109,Le Boisle,200011997,CC Authie-Maye,CC
80110,Boismont,248000663,CC de la Baie de Somme Sud,CC
80112,Bonnay,248000499,CC du Val de Somme,CC
80113,Bonneville,248000689,CC du Bernavillois,CC
80114,Bosquel,248000648,CC du Canton de Conty,CC
80115,Bouchavesnes-Bergen,248000721,CC de la Haute Somme,CC
80116,Bouchoir,248000507,CC du Santerre,CC
80117,Bouchon,248000457,CC du Val de Nièvre et Environs,CC
80118,Boufflers,200011997,CC Authie-Maye,CC
80119,Bougainville,248000762,CC du Sud Ouest Amiénois,CC
80120,Bouillancourt-en-Séry,247600216,CC de Blangy sur Bresle,CC
80121,Bouillancourt-la-Bataille,248000739,CC du Canton de Montdidier,CC
80122,Bouquemaison,248000416,CC du Doullennais,CC
80123,Bourdon,248000481,CC de l'Ouest d'Amiens,CC
80124,Bourseville,248000630,CC du Vimeu Industriel,CC
80125,Boussicourt,248000739,CC du Canton de Montdidier,CC
80126,Bouttencourt,247600216,CC de Blangy sur Bresle,CC
80127,Bouvaincourt-sur-Bresle,247600588,CC Bresle Maritime,CC
80128,Bouvincourt-en-Vermandois,248000721,CC de la Haute Somme,CC
80129,Bouzincourt,248000747,CC du Pays du Coquelicot,CC
80130,Bovelles,248000531,CA Amiens Métropole,CA
80131,Boves,248000531,CA Amiens Métropole,CA
80132,Braches,248000432,CC Avre Luce Moreuil,CC
80133,Brailly-Cornehotte,200011997,CC Authie-Maye,CC
80134,Brassy,248000648,CC du Canton de Conty,CC
80135,Bray-lès-Mareuil,248000556,CC de l'Abbevillois,CC
80136,Bray-sur-Somme,248000747,CC du Pays du Coquelicot,CC
80137,Breilly,248000481,CC de l'Ouest d'Amiens,CC
80138,Bresle,248000499,CC du Val de Somme,CC
80139,Breuil,248000358,CC du Pays Neslois,CC
80140,Brévillers,248000416,CC du Doullennais,CC
80141,Brie,248000721,CC de la Haute Somme,CC
80142,Briquemesnil-Floxicourt,248000762,CC du Sud Ouest Amiénois,CC
80143,Brocourt,248000762,CC du Sud Ouest Amiénois,CC
80144,Brouchy,248000341,CC du Pays Hamois,CC
80145,Brucamps,248000705,CC du Haut Clocher,CC
80146,Brutelles,248000663,CC de la Baie de Somme Sud,CC
80147,Buigny-l'Abbé,248000705,CC du Haut Clocher,CC
80148,Buigny-lès-Gamaches,247600588,CC Bresle Maritime,CC
80149,Buigny-Saint-Maclou,248000622,CC du Canton de Nouvion en Ponthieu,CC
80150,Buire-Courcelles,248000721,CC de la Haute Somme,CC
80151,Buire-sur-l'Ancre,248000747,CC du Pays du Coquelicot,CC
80152,Bus-la-Mésière,248000739,CC du Canton de Montdidier,CC
80153,Bus-lès-Artois,248000747,CC du Pays du Coquelicot,CC
80154,Bussu,248000721,CC de la Haute Somme,CC
80155,Bussus-Bussuel,248000705,CC du Haut Clocher,CC
80156,Bussy-lès-Daours,248000499,CC du Val de Somme,CC
80157,Bussy-lès-Poix,248000762,CC du Sud Ouest Amiénois,CC
80158,Buverchy,248000358,CC du Pays Neslois,CC
80159,Cachy,248000499,CC du Val de Somme,CC
80160,Cagny,248000531,CA Amiens Métropole,CA
80161,Cahon,248000473,CC du Vimeu Vert,CC
80162,Caix,248000507,CC du Santerre,CC
80163,Cambron,248000556,CC de l'Abbevillois,CC
80164,Camon,248000531,CA Amiens Métropole,CA
80165,Camps-en-Amiénois,248000762,CC du Sud Ouest Amiénois,CC
80166,Canaples,248000457,CC du Val de Nièvre et Environs,CC
80167,Canchy,248000622,CC du Canton de Nouvion en Ponthieu,CC
80168,Candas,248000689,CC du Bernavillois,CC
80169,Cannessières,248000580,CC du Canton d'Oisemont,CC
80170,Cantigny,248000739,CC du Canton de Montdidier,CC
80171,Caours,248000556,CC de l'Abbevillois,CC
80172,Cappy,248000747,CC du Pays du Coquelicot,CC
80173,Cardonnette,248000697,CC du Bocage et de l'Hallue,CC
80174,Le Cardonnois,248000739,CC du Canton de Montdidier,CC
80175,Carnoy,248000465,CC du Canton de Combles,CC
80176,Carrépuis,200030716,CC du Grand Roye,CC
80177,Cartigny,248000721,CC de la Haute Somme,CC
80179,Caulières,248000762,CC du Sud Ouest Amiénois,CC
80180,Cavillon,248000481,CC de l'Ouest d'Amiens,CC
80181,Cayeux-en-Santerre,248000432,CC Avre Luce Moreuil,CC
80182,Cayeux-sur-Mer,248000663,CC de la Baie de Somme Sud,CC
80183,Cerisy-Buleux,248000580,CC du Canton d'Oisemont,CC
80184,Cerisy,248000499,CC du Val de Somme,CC
80185,Champien,200030716,CC du Grand Roye,CC
80186,Chaulnes,248000549,CC de Haute Picardie,CC
80187,La Chaussée-Tirancourt,248000481,CC de l'Ouest d'Amiens,CC
80188,Chaussoy-Epagny,248000523,CC du Val de Noye,CC
80189,La Chavatte,248000507,CC du Santerre,CC
80190,Chépy,248000630,CC du Vimeu Industriel,CC
80191,Chilly,248000507,CC du Santerre,CC
80192,Chipilly,248000499,CC du Val de Somme,CC
80193,Chirmont,248000523,CC du Val de Noye,CC
80194,Chuignes,248000549,CC de Haute Picardie,CC
80195,Chuignolles,248000747,CC du Pays du Coquelicot,CC
80196,Citerne,248000614,CC de la Région d'Hallencourt,CC
80197,Cizancourt,248000358,CC du Pays Neslois,CC
80198,Clairy-Saulchoix,248000531,CA Amiens Métropole,CA
80199,Cléry-sur-Somme,248000721,CC de la Haute Somme,CC
80200,Cocquerel,248000705,CC du Haut Clocher,CC
80201,Coigneux,248000747,CC du Pays du Coquelicot,CC
80202,Coisy,248000697,CC du Bocage et de l'Hallue,CC
80203,Colincamps,248000747,CC du Pays du Coquelicot,CC
80204,Combles,248000465,CC du Canton de Combles,CC
80205,Condé-Folie,248000614,CC de la Région d'Hallencourt,CC
80206,Contalmaison,248000747,CC du Pays du Coquelicot,CC
80207,Contay,248000697,CC du Bocage et de l'Hallue,CC
80208,Conteville,248000689,CC du Bernavillois,CC
80209,Contoire,248000432,CC Avre Luce Moreuil,CC
80210,Contre,248000648,CC du Canton de Conty,CC
80211,Conty,248000648,CC du Canton de Conty,CC
80212,Corbie,248000499,CC du Val de Somme,CC
